Category,Final,Source,Description
Computer Vision,yes,PWC/arXiv,"covers areas of computer vision (e.g., image and video processing, pattern recognition, scene understanding, etc.)"
NLP,yes,PWC/arXiv,"covers areas of NLP (e.g., nlp, computational linguistics, speech, text retrieval, etc.)"
Miscellaneous,yes,PWC,covers papers for which we do not have appropriate categroies
Games,yes,PWC (renamed),"covers papers on Games (e.g. atari games, etc.)"
Audio,yes,PWC/arXiv,"covers areas of audio and sound (e.g., models of sound, analysis and synthesis, audio user interfaces, sonification of data, computer music, and sound signal processing, etc.)"
Robotic,yes,PWC/arXiv,covers areas of robotics
Mathematics,yes,arXiv ,"covers areas of mathematics (e.g., algebra, geometry, combinatorics, numerical analyses, logic, etc.)"
Physics,yes,arXiv ,"covers areas of physics (e.g., astro-physic, nuclear theory and experiments, high energy physics, quantum physics, etc.)"
Biology,yes,PWC/arXiv,"covers areas of biology (e.g., biomolecules, cell behavior, genomics, neurons and cognition, medicine, etc.) "
Information Retrieval,yes,arXiv ,"covers areas of information retrieval (e.g., experimental aspects of information theroy and coding, etc.)"
Software Engineering,yes,arXiv ,"covers design tools, software metrics, testing and debugging, programming environments, programming languages, logic in computer sience, performance, etc."
Machine Learning,yes,PWC/arXiv,"covers machine learning papers (e.g., supervised, unsupervised, semi-supervised learning, graphical models, reinforcement learning, bandits, high dimensional inference, robustness, explanation, fairness, methodology, etc.)"
Finance,yes,arXiv ,"covers areas of finance (e.g., computation, general, and mathematic finance, portolio management, pricing of securities, risk management, etc.)"
Security,yes,arXiv ,"covers areas of cryptography, security, and adversarial attacks (e.g., authentication, public key cryptosytems, proof-carrying code, etc)"
Electrical Engineering,yes,arXiv ,"cover areas of electrical engineering and systems sience (e.g., signal processing, systems and control, etc.)"
Social and Information Networks,yes,arXiv ,"covers the design, analysis, and modeling of social and information networks, including their communication, interaction, and their roles as datasets in the exploration of questions in these domains, including connections to the social and biological sciences"
Databases,yes,arXiv ,"covers database management, data mining, and data processing"
