,file
0,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_lux-ai-2021_fast-il-in-kerasipynb.py
1,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_uw-madison-gi-tract-image-segmentation_tps-may-2022-easiest-xgboostipynb.py
2,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_aerial-cactus-identification_kernel7e8e86686dipynb.py
3,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_AI4Code_add-0036519379-loading-transformed-dataipynb.py
4,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_intel-mobileodt-cervical-cancer-screening_intel-and-mobile-odt-cervical-cancer-screeningipynb.py
5,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_cdiscount-image-classification-challenge_reading-tfrecordipynb.py
6,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_alaska2-image-steganalysis_classify-jpg-data-based-on-its-quality-75-90-95ipynb.py
7,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_optiver-realized-volatility-prediction_kaggle-notebooks-analysisipynb.py
8,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_kore-2022-beta_load-scripts-of-top-github-projectsipynb.py
9,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_avito-context-ad-clicks_logistic-regression-on-ctr-pt-2py.py
10,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_store-sales-time-series-forecasting_spaceship-titanic-try-to-pipelineipynb.py
11,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_sorghum-id-fgvc-9_eda-collecting-training-datasetipynb.py
12,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_nfl-health-and-safety-helmet-assignment_starter-common-password-list-8e73ba35-3ipynb.py
13,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_iwildcam2022-fgvc9_predicting-the-successipynb.py
14,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_g-research-crypto-forecasting_support-vector-machineipynb.py
