,Class,Count,Category,#HP,AvgOptionsUsed,Most Used HP
4,Variable,2007,tensorflow,12,1.98,initial_value
10,Session,1572,compat,3,0.58,default
88,Dense,1554,keras,11,2.72,units
0,Saver,1002,compat,15,0.68,default
5,AdamOptimizer,908,compat,6,1.41,learning_rate
73,DEFINE_string,836,compat,6,3.0,"name, default, help"
8,ConfigProto,763,compat,17,1.21,allow_soft_placement
66,Dropout,693,keras,4,1.03,rate
74,DEFINE_integer,654,compat,8,3.0,"name, default, help"
54,TensorShape,612,tensorflow,1,1.0,dims
9,Graph,563,tensorflow,0,0.0,default
39,Conv2D,494,keras,17,4.49,filters
18,FixedLenFeature,488,io,3,2.11,"shape, dtype"
59,Input,314,keras,9,1.81,shape
6,GFile,313,io,2,1.85,name
1,FileWriter,306,compat,7,1.76,logdir
156,DEFINE_float,287,compat,8,3.0,"name, default, help"
127,LayerNormalization,279,keras,11,1.97,epsilon
20,Feature,270,train,0,1.0,int64_list
58,Adam,265,keras,7,1.29,learning_rate
91,Sequential,258,keras,2,0.84,layers
40,BatchNormalization,253,keras,14,0.43,default
78,GradientTape,247,tensorflow,2,0.33,default
99,Conv1D,221,keras,17,4.22,"filters, kernel_size"
60,Model,217,keras,2,2.23,outputs
63,Activation,171,keras,2,1.05,activation
147,TensorSpec,171,tensorflow,3,2.54,shape
81,TensorArray,170,tensorflow,11,3.33,"dtype, size"
61,LeakyReLU,162,keras,2,0.94,alpha
24,Example,156,train,0,0.87,features
37,MakeDirs,153,compat,1,1.0,dirname
7,Summary,153,compat,0,0.69,value
36,Exists,152,compat,1,1.0,filename
23,TFRecordWriter,145,io,2,1.12,path
125,Concatenate,140,keras,2,1.15,axis
25,Features,138,train,0,1.0,feature
19,GradientDescentOptimizer,136,compat,3,1.01,learning_rate
87,Flatten,132,keras,2,0.24,default
89,Lambda,128,keras,5,1.29,function
41,Int64List,122,train,0,1.0,value
12,GPUOptions,120,compat,0,1.43,allow_growth
148,Mean,106,keras,2,0.68,name
31,Normal,102,compat,5,2.0,"loc, scale"
93,Embedding,99,keras,9,3.69,"input_dim, output_dim"
22,BytesList,95,train,0,1.0,value
16,TFRecordDataset,88,data,5,1.32,filenames
53,MultiRNNCell,86,compat,2,1.22,cells
149,SparseCategoricalAccuracy,84,keras,2,0.32,default
13,MomentumOptimizer,83,compat,5,2.28,"learning_rate, momentum"
71,InteractiveSession,81,compat,3,0.23,default
38,BasicLSTMCell,81,compat,8,2.32,num_units
118,TPUEstimatorSpec,80,compat,11,3.51,mode
115,Glob,79,compat,1,1.0,filename
55,RMSPropOptimizer,78,compat,7,2.08,learning_rate
72,Coordinator,72,train,1,0.06,default
79,MaxPooling2D,71,compat,6,1.63,pool_size
70,LSTMStateTuple,71,compat,2,1.97,c
51,LSTMCell,70,keras,17,2.19,units
50,ExponentialMovingAverage,68,train,4,1.4,decay
96,SparseCategoricalCrossentropy,63,keras,3,1.02,from_logits
33,EstimatorSpec,63,estimator,11,3.22,mode
116,RunConfig,62,estimator,17,3.92,save_checkpoints_steps
62,ZeroPadding2D,62,keras,3,1.03,padding
120,Scaffold,61,compat,10,0.48,default
114,GRUCell,61,keras,17,1.28,units
15,RegisterGradient,61,tensorflow,1,1.0,op_type
47,VarLenFeature,61,io,1,1.0,dtype
68,DropoutWrapper,59,compat,10,3.51,cell
64,Conv2DTranspose,58,keras,17,5.17,"filters, kernel_size"
90,Reshape,54,keras,2,1.15,target_shape
21,FloatList,53,train,0,1.0,value
2,SparseTensor,53,sparse,3,2.66,indices
164,Assert,53,debugging,4,2.02,"condition, data"
82,Print,51,compat,6,2.9,"input_, data"
142,FastGFile,49,compat,2,1.96,name
3,GraphDef,46,compat,0,0.0,default
105,MaxPool2D,44,keras,5,2.23,pool_size
48,RunOptions,44,distribute,3,1.05,trace_level
49,RunMetadata,42,compat,0,0.0,default
35,TestCase,42,test,1,0.0,default
184,ReLU,42,keras,4,0.14,default
57,AdagradOptimizer,42,compat,4,1.26,learning_rate
129,IsDirectory,41,compat,1,1.0,dirname
32,Estimator,41,estimator,5,2.15,model_fn
122,TPUClusterResolver,40,distribute,9,2.4,tpu
101,MeanSquaredError,40,keras,2,0.1,default
158,DEFINE_bool,39,compat,7,3.0,"name, default, help"
67,RandomNormal,39,keras,3,1.1,seed
117,TPUEstimator,39,compat,15,5.28,"use_tpu, model_fn, config"
197,Checkpoint,38,train,2,2.13,optimizer
119,TPUConfig,38,compat,11,2.71,per_host_input_for_training
169,TimeDistributed,38,keras,2,1.42,layer
124,Add,37,keras,1,0.05,default
160,MonitoredSession,33,compat,3,1.09,session_creator
85,EarlyStopping,33,keras,7,3.0,patience
95,LSTM,33,keras,24,2.39,units
139,MaxPooling3D,32,compat,6,3.34,pool_size
46,FixedLenSequenceFeature,30,io,4,2.37,"shape, dtype"
136,Conv3D,29,keras,17,5.0,"filters, kernel_size, padding"
97,ModelCheckpoint,28,keras,10,4.36,filepath
98,SGD,28,keras,5,1.79,learning_rate
159,ChiefSessionCreator,28,compat,5,2.68,scaffold
161,AveragePooling2D,28,keras,5,1.86,pool_size
14,NewCheckpointReader,27,compat,1,1.0,filepattern
219,UpSampling1D,27,keras,2,0.85,size
225,Accuracy,25,keras,2,0.08,default
207,GraphOptions,25,compat,0,1.0,optimizer_options
189,MinMaxNorm,24,keras,4,2.0,"min_value, max_value"
107,Tensor,24,tensorflow,3,1.33,op
198,CheckpointManager,23,train,8,3.3,"checkpoint, directory, max_to_keep"
211,Copy,23,compat,3,2.7,"oldpath, newpath"
84,TFRecordReader,23,compat,2,0.0,default
206,OptimizerOptions,22,compat,0,1.5,opt_level
56,AdadeltaOptimizer,22,compat,5,1.64,learning_rate
163,Supervisor,22,compat,20,3.23,logdir
44,TFRecordOptions,21,io,9,1.0,compression_type
11,HistogramProto,21,compat,0,0.24,default
152,CategoricalCrossentropy,20,keras,5,0.75,from_logits
213,SessionRunArgs,20,estimator,3,1.15,fetches
174,MirroredStrategy,20,distribute,2,0.45,default
94,Bidirectional,19,keras,5,1.37,layer
146,GlobalAveragePooling2D,19,keras,3,0.16,default
17,Categorical,19,compat,6,1.11,logits
168,GRU,19,keras,24,3.32,units
290,AUC,18,keras,10,0.72,curve
112,TextLineDataset,18,data,5,1.22,filenames
131,Dimension,17,compat,1,1.0,value
86,LearningRateScheduler,16,keras,2,1.19,schedule
185,SeparableConv2D,16,keras,20,5.38,"filters, kernel_size"
221,ListDirectory,16,compat,1,1.0,dirname
30,MonitoredTrainingSession,15,compat,16,4.8,"config, hooks"
170,CategoricalAccuracy,15,keras,2,0.4,default
29,LoggingTensorHook,15,estimator,5,2.0,tensors
175,OneDeviceStrategy,15,distribute,1,1.0,device
111,Remove,15,compat,1,1.0,filename
80,UpSampling2D,15,keras,4,1.0,size
196,InputSpec,15,keras,8,1.27,ndim
102,BinaryCrossentropy,15,keras,5,0.33,default
76,FIFOQueue,15,queue,6,2.8,"capacity, dtypes"
249,PReLU,14,keras,5,1.0,shared_axes
179,ImageDataGenerator,14,keras,23,3.43,"horizontal_flip, width_shift_range, height_shift_range, rotation_range"
106,QueueRunner,14,compat,7,2.0,"queue, enqueue_ops"
103,TensorBoard,13,keras,10,2.15,log_dir
192,EvalSpec,13,estimator,7,2.85,input_fn
191,TrainSpec,13,estimator,4,2.15,"input_fn, max_steps"
121,CrossShardOptimizer,13,compat,4,1.0,opt
123,IndexedSlices,13,tensorflow,3,2.38,values
126,RMSprop,13,keras,7,0.77,default
182,Zeros,13,compat,1,0.0,default
257,ELU,12,keras,2,0.0,default
176,TruncatedNormal,12,keras,3,1.0,stddev
151,MkDir,12,compat,1,1.0,dirname
150,MeanAbsoluteError,12,keras,2,0.58,"default, name"
134,Softmax,12,keras,2,0.08,default
215,SingularMonitoredSession,10,compat,7,1.6,config
210,CheckpointSaverHook,10,estimator,8,3.4,checkpoint_dir
135,Progbar,10,keras,6,1.0,target
218,ZeroPadding1D,10,keras,2,1.0,padding
113,ResidualWrapper,10,compat,3,1.0,cell
28,Bernoulli,9,compat,6,1.11,probs
75,DeleteRecursively,9,compat,1,1.0,dirname
201,ServingInputReceiver,9,estimator,3,2.0,"features, receiver_tensors"
255,RandomShuffleQueue,9,queue,8,3.78,"capacity, min_after_dequeue, dtypes"
178,CosineSimilarity,9,keras,3,1.22,axis
216,MaxPooling1D,9,compat,6,1.11,pool_size
45,FeatureList,8,train,0,1.0,feature
252,KeyValueTensorInitializer,8,lookup,5,3.5,"keys, values"
248,TopKCategoricalAccuracy,8,keras,3,3.0,"k, name, dtype"
244,VariableScope,8,compat,11,1.75,name
165,SyncReplicasOptimizer,8,compat,7,4.25,"opt, replicas_to_aggregate"
43,SequenceExample,8,train,0,1.0,feature_lists
237,GaussianNoise,8,keras,3,1.12,stddev
226,Precision,7,keras,5,0.14,default
208,StopAtStepHook,7,estimator,2,1.0,last_step
228,Dataset,7,data,1,5.14,"data_sources, reader, decoder, num_samples, items_to_descriptions"
246,Adamax,7,keras,6,1.0,learning_rate
227,Recall,7,keras,5,0.14,default
132,MaxPool1D,7,keras,5,1.86,pool_size
65,Cropping2D,6,keras,3,1.17,cropping
204,RootMeanSquaredError,6,keras,2,0.67,dtype
274,InputLayer,6,keras,9,1.0,input_shape
172,TPUStrategy,6,distribute,3,1.0,tpu_cluster_resolver
183,RandomUniform,6,keras,3,2.33,"minval, maxval"
200,SpatialDropout3D,6,keras,3,1.17,rate
286,BestExporter,6,estimator,7,3.67,"name, serving_input_receiver_fn, exports_to_keep"
141,FixedLengthRecordReader,6,compat,6,1.0,record_bytes
251,HashTable,6,raw_ops,6,2.0,key_dtype
253,VarianceScaling,5,compat,5,2.4,"scale, mode"
209,NanTensorHook,5,estimator,2,1.0,loss_tensor
173,LossScaleOptimizer,5,keras,0,0.0,None
77,VGG16,5,keras,7,1.6,include_top
250,SummaryWriter,5,summary,0,0.6,graph
177,PolynomialDecay,5,keras,6,3.2,"initial_learning_rate, decay_steps, end_learning_rate"
294,GlobalAveragePooling1D,5,keras,2,0.6,name
166,FtrlOptimizer,5,compat,11,3.6,learning_rate
137,ZeroPadding3D,5,keras,3,1.4,padding
42,FeatureLists,5,train,0,1.0,feature_list
267,AveragePooling3D,5,keras,5,3.0,pool_size
233,DEFINE_enum,5,compat,8,4.0,"name, default, enum_values, help"
212,SecondOrStepTimer,4,estimator,2,2.0,"every_secs, every_steps"
69,BasicRNNCell,4,compat,6,1.5,num_units
292,StringLookup,4,keras,12,3.0,"vocabulary, mask_token"
220,L1L2,4,keras,2,1.5,l2
291,Constant,4,compat,3,1.0,value
288,ClusterSpec,4,train,1,1.0,cluster
128,Interpreter,4,lite,6,1.0,model_path
202,PredictOutput,4,estimator,1,1.0,outputs
301,NodeDef,4,compat,0,0.0,default
271,ConvLSTM2D,4,keras,27,6.0,"filters, kernel_size"
270,Conv3DTranspose,4,keras,17,4.0,"filters, kernel_size, padding, strides"
92,Tokenizer,4,keras,8,1.0,"num_words, oov_token, default"
100,Multiply,4,keras,1,0.5,"name, default"
188,PaddingFIFOQueue,4,queue,6,3.5,"capacity, dtypes, shapes"
144,Beta,3,compat,5,2.0,"concentration1, concentration0"
264,StepCounterHook,3,estimator,4,2.33,"output_dir, every_n_steps"
236,Event,3,compat,0,2.33,wall_time
269,SummarySaverHook,3,estimator,6,3.0,save_steps
277,VGG19,3,keras,7,2.0,weights
265,Nadam,3,keras,6,0.0,default
238,SparseTensorValue,3,compat,3,3.0,"indices, values, dense_shape"
